192.168.1.1 - - [10/Mar/2025:10:00:00] "GET /index.html HTTP/1.1" 200
192.168.1.2 - - [10/Mar/2025:10:01:00] "GET /login HTTP/1.1" 200
192.168.1.3 - - [10/Mar/2025:10:02:00] "POST /login HTTP/1.1" 401
192.168.1.3 - - [10/Mar/2025:10:02:10] "POST /login HTTP/1.1" 401
192.168.1.3 - - [10/Mar/2025:10:02:20] "POST /login HTTP/1.1" 401
192.168.1.4 - - [10/Mar/2025:10:03:00] "GET /admin HTTP/1.1" 403
192.168.1.5 - - [10/Mar/2025:10:04:00] "GET /home HTTP/1.1" 200
192.168.1.100 - - [10/Mar/2025:10:05:00] "GET /index.html HTTP/1.1" 200
192.168.1.100 - - [10/Mar/2025:10:05:01] "GET /index.html HTTP/1.1" 200
192.168.1.100 - - [10/Mar/2025:10:05:02] "GET /index.html HTTP/1.1" 200
192.168.1.100 - - [10/Mar/2025:10:05:03] "GET /index.html HTTP/1.1" 200
192.168.1.100 - - [10/Mar/2025:10:05:04] "GET /index.html HTTP/1.1" 200
192.168.1.100 - - [10/Mar/2025:10:05:05] "GET /index.html HTTP/1.1" 200
192.168.1.100 - - [10/Mar/2025:10:05:06] "GET /index.html HTTP/1.1" 200
192.168.1.200 - - [10/Mar/2025:10:06:00] "GET /../../etc/passwd HTTP/1.1" 400
192.168.1.201 - - [10/Mar/2025:10:07:00] "GET /search?q=SELECT+*+FROM+users HTTP/1.1" 500
