192.0.2.10 - - [06/Apr/2026:15:00:00] "GET /reports/error_log.txt HTTP/1.1" 200 
192.0.2.10 - - [06/Apr/2026:15:00:01] "GET /reports/error_log.txt HTTP/1.1" 200 
192.0.2.11 - - [06/Apr/2026:15:01:00] "POST /oauth/token HTTP/1.1" 400 
192.0.2.11 - - [06/Apr/2026:15:01:01] "POST /oauth/token HTTP/1.1" 400 
192.0.2.12 - - [06/Apr/2026:15:02:00] "GET /api/session HTTP/1.1" 401 
192.0.2.12 - - [06/Apr/2026:15:02:01] "GET /api/session HTTP/1.1" 401 
192.0.2.13 - - [06/Apr/2026:15:03:00] "DELETE /api/resource/99 HTTP/1.1" 403 
192.0.2.14 - - [06/Apr/2026:15:04:00] "GET /static/app.js HTTP/1.1" 404 
192.0.2.14 - - [06/Apr/2026:15:04:01] "GET /static/app.js HTTP/1.1" 404 
192.0.2.15 - - [06/Apr/2026:15:05:00] "GET /search?q=error+page HTTP/1.1" 200 
192.0.2.16 - - [06/Apr/2026:15:06:00] "POST /webhook HTTP/1.1" 500 
192.0.2.16 - - [06/Apr/2026:15:06:01] "POST /webhook HTTP/1.1" 502 
192.0.2.17 - - [06/Apr/2026:15:07:00] "GET /login?msg=Login+failed HTTP/1.1" 200 
192.0.2.18 - - [06/Apr/2026:15:08:00] "GET /api/gateway HTTP/1.1" 503 
192.0.2.19 - - [06/Apr/2026:15:09:00] "GET /firewall/denied HTTP/1.1" 403 
192.0.2.20 - - [06/Apr/2026:15:10:00] "GET /auth/invalid_token HTTP/1.1" 401 
192.0.2.21 - - [06/Apr/2026:15:11:00] "CONNECT db.internal:5432 HTTP/1.1" 403 
192.0.2.22 - - [06/Apr/2026:15:12:00] "GET /status?refused=upstream HTTP/1.1" 502 
192.0.2.23 - - [06/Apr/2026:15:13:00] "GET / HTTP/1.1" 200 
192.0.2.23 - - [06/Apr/2026:15:13:01] "GET /favicon.ico HTTP/1.1" 200 
192.0.2.23 - - [06/Apr/2026:15:13:02] "GET /about HTTP/1.1" 200 
